gsis_id,display_name,first_name,last_name,position,position_group,birth_date,rookie_season,draft_year,draft_round,draft_pick,college_name,height,weight,pfr_id
ACH415290,George Achica,George,Achica,DT,DL,1960-12-19,1985,1983.0,3.0,57.0,USC,77.0,260.0,AchiGe20
00-0029428,Emmanuel Acho,Emmanuel,Acho,LB,LB,1990-11-10,2012,2012.0,6.0,204.0,Texas,74.0,240.0,AchoEm00
00-0028041,Sam Acho,Samuel,Acho,LB,LB,1988-09-06,2011,2011.0,4.0,103.0,Texas,75.0,259.0,AchoSa00
00-0022520,D.D. Acholonu,Dilibe,Acholonu,LB,LB,1980-10-17,2004,,,,Washington State,74.0,339.0,
00-0041221,Jackson Acker,Jackson,Acker,RB,RB,2002-11-15,2026,,,,Wisconsin,73.0,247.0,
00-0031186,Kenneth Acker,Kenneth,Acker,CB,DB,1992-02-06,2014,2014.0,6.0,180.0,SMU,72.0,195.0,AckeKe00
ACK207645,Bill Acker,William,Acker,NT,DL,1956-11-07,1980,1980.0,6.0,142.0,Texas,75.0,255.0,AckeBi20
ACK415290,Rick Ackerman,Richard,Ackerman,DT,DL,1959-06-16,1982,,,,Memphis,76.0,258.0,AckeRi20
00-0000032,Tom Ackerman,Thomas,Ackerman,C,OL,1972-09-06,1996,1996.0,5.0,145.0,Eastern Washington,76.0,295.0,AckeTo20
ACK622935,Ron Acks,Ronald,Acks,MLB,LB,1944-10-03,1974,,,,Illinois,74.0,214.0,AcksRo20
ACO415291,Fred Acorn,Frederick,Acorn,CB,DB,1961-03-17,1984,1984.0,3.0,57.0,Texas,70.0,185.0,AcorFr20
00-0035801,DeMarkus Acy,DeMarkus,Acy,CB,DB,1998-04-29,2020,,,,Missouri,74.0,195.0,AcyxDe00
ADA083058,Mike Adamle,Michael,Adamle,RB,RB,1949-10-04,1974,,,,Northwestern,69.0,197.0,AdamMi01
00-0029831,Aaron Adams,Aaron,Adams,OT,OL,1989-05-16,2013,,,,Eastern Kentucky,77.0,303.0,AdamAa00
00-0029271,Joe Adams,Adam,Adams,WR,WR,1989-11-22,2012,2012.0,4.0,104.0,Arkansas,71.0,190.0,AdamJo01
ADA102090,Theo Adams,Adam,Adams,G,OL,1966-04-24,1992,,,,Hawaii,76.0,300.0,AdamTh20
00-0032637,Andrew Adams,Andrew,Adams,DB,DB,1993-08-28,2016,,,,Connecticut,71.0,205.0,AdamAn00
00-0033521,Keion Adams,Anfernee,Adams,LB,LB,1995-06-08,2017,2017.0,7.0,248.0,Western Michigan,74.0,240.0,AdamKe02
00-0022085,Anthony Adams,Anthony,Adams,DT,DL,1980-06-18,2003,2003.0,2.0,57.0,Penn State,72.0,310.0,AdamAn20
ADA110744,Tony Adams,Anthony,Adams,QB,QB,1950-03-09,1975,,,,Utah State; Texas,72.0,198.0,AdamTo00
00-0021006,Charlie Adams,Charles,Adams,WR,WR,1979-10-23,2003,,,,Hofstra,74.0,190.0,AdamCh00
ADA166116,Curtis Adams,Curtis,Adams,RB,RB,1962-04-30,1985,1985.0,8.0,207.0,Central Michigan,71.0,198.0,AdamCu00
00-0031115,D.J. Adams,D.J.,Adams,RB,RB,1990-09-27,2014,,,,Portland State; Maryland,70.0,210.0,AdamD.00
00-0022031,Blue Adams,Danny,Adams,DB,DB,1979-10-15,2003,2003.0,7.0,220.0,Cincinnati,70.0,184.0,AdamBl20
00-0024121,Darrell Adams,Darrell,Adams,DE,DL,1983-09-16,2006,,,,Villanova,72.0,282.0,
00-0028746,Darvin Adams,Darvin,Adams,WR,WR,1990-01-05,2011,,,,Auburn,74.0,194.0,AdamDa00
00-0031381,Davante Adams,Davante,Adams,WR,WR,1992-12-24,2014,2014.0,2.0,53.0,Fresno State,73.0,204.0,AdamDa01
ADA222240,Brent Adams,David,Adams,OT,OL,1952-06-26,1975,1975.0,8.0,185.0,Tennessee,77.0,256.0,AdamBr20
ADA229740,David Adams,David,Adams,RB,RB,1964-06-24,1987,1987.0,12.0,309.0,Arizona,66.0,168.0,AdamDa20
ADA249174,Doug Adams,Douglas,Adams,MLB,LB,1949-11-03,1974,,,,Ohio State,73.0,225.0,AdamDo20
ADA276860,Earnest Adams,Earnest,Adams,LB,LB,1959-03-12,1987,,,,Illinois,74.0,226.0,AdamEa20
00-0000045,Flozell Adams,Flozell,Adams,OT,OL,1975-05-18,1998,1998.0,2.0,38.0,Michigan State,79.0,338.0,AdamFl00
00-0025391,Gaines Adams,Gaines,Adams,DE,DL,1983-06-08,2007,2007.0,1.0,4.0,Clemson,77.0,258.0,AdamGa99
00-0000047,George Adams,George,Adams,RB,RB,1962-12-22,1985,1985.0,1.0,19.0,Kentucky,73.0,225.0,AdamGe00
ADA324014,Harry Adams,Harry,Adams,WR,WR,1989-11-27,2013,,,,Auburn,72.0,183.0,
00-0039808,Isaiah Adams,Isaiah,Adams,G,OL,2000-07-21,2024,2024.0,3.0,71.0,Illinois; Garden City CC,76.0,316.0,AdamIs01
00-0033872,Jamal Adams,Jamal,Adams,LB,LB,1995-10-17,2017,2017.0,1.0,6.0,LSU,73.0,213.0,AdamJa00
00-0025889,Jamar Adams,Jamar,Adams,DB,DB,1985-11-29,2008,,,,Michigan,74.0,215.0,AdamJa20
00-0028998,Jeff Adams,Jeffrey,Adams,OT,OL,1989-09-06,2012,,,,Columbia,79.0,305.0,AdamJe00
00-0032429,Jerell Adams,Jerell,Adams,TE,TE,1992-12-31,2016,2016.0,6.0,184.0,South Carolina,77.0,254.0,AdamJe01
00-0030226,Johnny Adams,Johnny,Adams,CB,DB,1989-06-09,2013,,,,Michigan State,70.0,185.0,AdamJo02
00-0034457,Josh Adams,Joshua,Adams,RB,RB,1996-10-29,2018,,,,Notre Dame,74.0,225.0,AdamJo03
ADA470662,Julius Adams,Julius,Adams,DE,DL,1948-04-26,1974,,,,Texas Southern,75.0,270.0,AdamJu00
00-0020488,Keith Adams,Keith,Adams,LB,LB,1979-11-22,2001,2001.0,7.0,232.0,Clemson,71.0,223.0,AdamKe20
00-0029047,Kendrick Adams,Kendrick,Adams,DE,DL,1988-11-03,2012,,,,LSU,77.0,250.0,AdamKe01
00-0028338,Kris Adams,Kristofer,Adams,WR,WR,1987-09-04,2011,,,,Texas-El Paso,75.0,194.0,AdamKr00
00-0028337,Kyle Adams,Kyle,Adams,TE,TE,1988-01-19,2011,,,,Purdue,76.0,255.0,AdamKy00
00-0034424,Matthew Adams,Matthew,Adams,OLB,LB,1995-12-12,2018,2018.0,7.0,221.0,Houston,72.0,229.0,AdamMa00
00-0022247,Mike Adams,Michael,Adams,FS,DB,1981-03-24,2004,,,,Delaware,71.0,205.0,AdamMi21
00-0025668,Michael Adams,Michael,Adams,DB,DB,1985-06-17,2007,,,,Louisiana-Lafayette,68.0,181.0,AdamMi98
00-0029202,Mike Adams,Michael,Adams,OT,OL,1990-03-10,2012,2012.0,2.0,56.0,Ohio State,79.0,323.0,AdamMi02
ADA504348,Mike Adams,Michael,Adams,WR,WR,1974-03-24,1997,1997.0,7.0,223.0,Texas,71.0,185.0,AdamMi00
ADA510348,Michael Adams,Michael,Adams,DB,DB,1964-04-05,1987,1987.0,3.0,67.0,Arkansas State; Mississippi Delta CC,70.0,195.0,AdamMi20
00-0033929,Montravius Adams,Montravius,Adams,DT,DL,1995-07-24,2017,2017.0,3.0,93.0,Auburn,76.0,304.0,AdamMo00
00-0035946,Myles Adams,Myles,Adams,DT,DL,1998-03-09,2020,,,,Rice,74.0,299.0,AdamMy00
00-0035007,Paul Adams,Paul,Adams,OT,OL,1995-05-17,2019,,,,Missouri,77.0,315.0,AdamPa01
ADA526034,Pete Adams,Peter,Adams,G,OL,1951-05-04,1974,,,,USC,76.0,260.0,AdamPe20
00-0027610,Phillip Adams,Phillip,Adams,DB,DB,1988-07-20,2010,2010.0,7.0,224.0,South Carolina State,71.0,195.0,AdamPh00
ADA553720,Bob Adams,Robert,Adams,TE,TE,1946-08-15,1974,,,,University of U. of Pacific,74.0,225.0,AdamBo00
00-0033957,Rodney Adams,Rodney,Adams,WR,WR,1994-09-15,2017,2017.0,5.0,170.0,University of South Florida; Toledo,73.0,189.0,AdamRo01
00-0028829,Royce Adams,Royce,Adams,WR,WR,1988-05-03,2012,,,,Purdue,72.0,190.0,AdamRo00
00-0000065,Sam Adams,Samuel,Adams,DT,DL,1973-06-13,1994,1994.0,1.0,8.0,Texas A&M,75.0,350.0,AdamSa00
ADA581406,Sam Adams,Samuel,Adams,G,OL,1948-09-20,1974,,,,Prairie View A&M,75.0,256.0,AdamSa20
00-0000066,Scott Adams,Scott,Adams,OT,OL,1966-09-28,1991,,,,Georgia,77.0,290.0,AdamSc20
ADA609092,Stan Adams,Stanley,Adams,OLB,LB,1960-05-22,1984,,,,Memphis,74.0,215.0,AdamSt20
ADA636778,Stefon Adams,Stefon,Adams,DB,DB,1963-08-11,1986,1985.0,3.0,80.0,East Carolina,70.0,185.0,AdamSt21
00-0024434,Titus Adams,Titus,Adams,DT,DL,1983-01-28,2006,2006.0,7.0,220.0,Nebraska,76.0,305.0,AdamTi00
00-0034849,Tony Adams,Tony,Adams,G,OL,1995-12-28,2018,,,,N.C. State,73.0,302.0,
00-0037155,Tony Adams,Tony,Adams,SAF,DB,1999-01-24,2022,,,,Illinois,71.0,210.0,AdamTo03
00-0036185,Trey Adams,Trey,Adams,OT,OL,1997-03-04,2020,,,,Washington,80.0,311.0,AdamTr01
00-0032094,Tyrell Adams,Tyrell,Adams,LB,LB,1992-04-11,2015,,,,West Georgia,74.0,230.0,AdamTy00
00-0000072,Vashone Adams,Vashone,Adams,DB,DB,1973-09-12,1995,,,,Eastern Michigan; Fort Hays; Butte College,70.0,201.0,AdamVa20
ADA719836,Bill Adams,William,Adams,G,OL,1950-02-04,1974,,,,Holy Cross,74.0,255.0,AdamBi20
ADA775208,Willis Adams,Willis,Adams,WR,WR,1956-08-22,1979,1979.0,1.0,20.0,Houston; Navarro,74.0,194.0,AdamWi00
00-0028999,Levy Adcock,Levy,Adcock,OT,OL,1988-11-12,2012,,,,Oklahoma State,78.0,324.0,AdcoLe00
00-0030312,Jahleel Addae,Jahleel,Addae,S,DB,1990-01-24,2013,,,,Central Michigan,70.0,195.0,AddaJa00
00-0024245,Joseph Addai,Joseph,Addai,RB,RB,1983-05-03,2006,2006.0,1.0,30.0,LSU,71.0,214.0,AddaJo00
00-0035677,Nasir Adderley,Nasir,Adderley,FS,DB,1997-05-31,2019,2019.0,2.0,60.0,Delaware,72.0,206.0,AddeNa00
00-0037686,Tucker Addington,Tucker,Addington,LS,SPEC,1997-07-16,2022,,,,Sam Houston State,74.0,230.0,AddiTu00
00-0032482,Bralon Addison,Bralon,Addison,WR,WR,1993-10-12,2016,,,,Oregon,69.0,197.0,AddiBr01
00-0000076,Bryan Addison,Bryan,Addison,SAF,DB,1970-04-13,1995,,,,Hawaii,72.0,200.0,
00-0038994,Jordan Addison,Jordan,Addison,WR,WR,2002-01-27,2023,2023.0,1.0,23.0,USC; Pittsburgh,71.0,179.0,AddiJo00
00-0028339,Mario Addison,Mario,Addison,DL,DL,1987-09-06,2011,,,,Troy; Booneville JC (MS),75.0,260.0,AddiMa00
00-0039031,Adetomiwa Adebawore,Adetomiwa,Adebawore,DT,DL,2001-03-04,2023,2023.0,4.0,110.0,Northwestern,74.0,282.0,AdebAd00
00-0036937,Paulson Adebo,Saiid,Adebo,CB,DB,1999-07-03,2021,2021.0,3.0,76.0,Stanford,73.0,192.0,AdebPa00
00-0033366,Quincy Adeboyejo,Quincy,Adeboyejo,WR,WR,1995-05-26,2017,,,,Mississippi,75.0,200.0,AdebQu00
00-0036310,Hakeem Adeniji,Abdul,Adeniji,OT,OL,1997-12-08,2020,2020.0,6.0,180.0,Kansas,76.0,302.0,AdenHa00
00-0027462,Damola Adeniji,Damola,Adeniji,WR,WR,1987-06-16,2010,,,,Oregon State,75.0,213.0,AdenDa00
00-0034204,Ola Adeniyi,Olasunkanmi,Adeniyi,OLB,LB,1997-09-12,2018,,,,Toledo,73.0,248.0,AdenOl00
00-0035136,Aaron Adeoye,Aaron,Adeoye,LB,LB,1993-08-26,2019,,,,Southeast Missouri State,78.0,250.0,AdeoAa00
00-0024328,Victor Adeyanju,Victor,Adeyanju,DE,DL,1983-02-11,2006,2006.0,4.0,113.0,Indiana,76.0,284.0,AdeyVi20
00-0022795,Nathaniel Adibi,Nathaniel,Adibi,DE,DL,1981-01-25,2005,,,,Virginia Tech,75.0,255.0,
00-0026258,Xavier Adibi,Xavier,Adibi,LB,LB,1984-10-18,2008,2008.0,4.0,118.0,Virginia Tech,74.0,242.0,AdibXa99
ADI276861,John Adickes,John,Adickes,C,OL,1964-06-29,1987,1987.0,6.0,154.0,Baylor,75.0,264.0,AdicJo20
00-0000083,Mark Adickes,Mark,Adickes,G,OL,1961-04-22,1986,1984.0,1.0,5.0,Baylor,76.0,278.0,AdicMa20
00-0032273,Jude Adjei-Barimah,Jude,Adjei-Barimah,CB,DB,1992-07-21,2015,,,,Bowling Green,71.0,200.0,AdjeJu00
ADK138430,Kevin Adkins,James,Adkins,DB,DB,1965-08-27,1987,,,,Oklahoma,73.0,250.0,AdkiKe20
00-0038783,Nate Adkins,Nathan,Adkins,TE,TE,1999-07-09,2023,,,,South Carolina,75.0,252.0,AdkiNa00
ADK692150,Sam Adkins,Samuel,Adkins,QB,QB,1955-05-21,1977,1977.0,10.0,254.0,Wichita State University,74.0,214.0,AdkiSa00
00-0027123,Spencer Adkins,Spencer,Adkins,OLB,LB,1987-05-16,2009,2009.0,6.0,176.0,Miami,71.0,236.0,AdkiSp99
00-0021629,James Adkisson,James,Adkisson,WR,WR,1980-01-11,2005,,,,South Carolina; Kemper Military Junior College,77.0,235.0,AdkiJa00
00-0037412,Cal Adomitis,Callen,Adomitis,LS,SPEC,1998-07-09,2022,,,,Pittsburgh,74.0,238.0,AdomCa00
00-0030583,Daniel Adongo,Daniel,Adongo,LB,LB,1989-10-12,2013,,,,,77.0,270.0,AdonDa00
00-0026936,Al Afalava,Al,Afalava,S,DB,1987-01-20,2009,2009.0,6.0,190.0,Oregon State,71.0,212.0,AfalAl99
00-0000090,Erik Affholter,Erik,Affholter,WR,WR,1966-04-10,1991,1989.0,4.0,110.0,USC,72.0,187.0,AffhEr00
00-0034702,Pat Afriyie,Patrick,Afriyie,DE,DL,1996-07-20,2018,,,,Colgate,74.0,240.0,AfriPa00
00-0000091,Louis Age,Louis,Age,OT,OL,1970-02-01,1992,1992.0,11.0,304.0,Louisiana-Lafayette,79.0,350.0,AgexLo20
00-0000094,Mel Agee,Melvin,Agee,DT,DL,1968-11-22,1991,1991.0,6.0,152.0,Illinois,77.0,300.0,AgeeMe20
00-0000096,Tommie Agee,Thomas,Agee,RB,RB,1964-02-22,1988,1987.0,5.0,119.0,Auburn,72.0,235.0,AgeeTo00
00-0031549,Nelson Agholor,Nelson,Agholor,WR,WR,1993-05-24,2015,2015.0,1.0,20.0,USC,72.0,200.0,AghoNe00
00-0036420,McTelvin Agim,McTelvin,Agim,DT,DL,1997-09-25,2020,2020.0,3.0,95.0,Arkansas,75.0,300.0,AgimMc00
00-0033572,Jamal Agnew,Jamal,Agnew,WR,WR,1995-04-03,2017,2017.0,5.0,165.0,San Diego,70.0,190.0,AgneJa00
00-0000097,Ray Agnew,Raymond,Agnew,DT,DL,1967-12-09,1990,1990.0,1.0,10.0,N.C. State,75.0,285.0,AgneRa20
00-0030653,Ray Agnew,Raymond,Agnew,RB,RB,1991-02-26,2014,,,,Southern Illinois,70.0,247.0,AgneRa00
00-0028450,Vince Agnew,Vincent,Agnew,CB,DB,1987-12-28,2011,,,,Central Michigan,70.0,196.0,AgneVi00
00-0026540,Robert Agnone,Robert,Agnone,TE,TE,1985-10-02,2009,,,,Delaware; Pittsburgh,78.0,256.0,
00-0039177,David Agoha,David,Agoha,DE,DL,2001-05-18,2023,,,,,76.0,260.0,AgohDa00
00-0033102,Roberto Aguayo,Roberto,Aguayo,K,SPEC,1994-05-17,2016,2016.0,2.0,59.0,Florida State,72.0,207.0,AguaRo00
00-0038682,Mitchell Agude,Mitchell,Agude,LB,LB,1999-03-10,2023,,,,Miami; UCLA,76.0,245.0,AgudMi01
00-0033599,Carlton Agudosi,Carlton,Agudosi,WR,WR,1994-02-01,2017,,,,Rutgers,78.0,220.0,AgudCa00
00-0000098,Louie Aguiar,Louis,Aguiar,P,SPEC,1966-06-30,1991,,,,Utah State; Chabot College,74.0,220.0,aguialou01
00-0041203,Joey Aguilar,Jose,Aguilar,QB,QB,2001-06-16,2026,,,,Tennessee; Appalachian State; Diablo Valley College,75.0,225.0,
00-0025626,C.J. Ah You,C.J.,Ah You,DT,DL,1982-07-07,2007,2007.0,7.0,239.0,Oklahoma; BYU; Snow,76.0,265.0,AhYoC.00
00-0000100,Chidi Ahanotu,Chidi,Ahanotu,DT,DL,1970-10-11,1993,1993.0,6.0,145.0,California,74.0,285.0,AhanCh20
00-0038749,Holton Ahlers,Holton,Ahlers,QB,QB,1999-11-10,2023,,,,East Carolina,75.0,227.0,AhleHo00
00-0035761,Ramiz Ahmed,Ramiz,Ahmed,K,SPEC,1995-07-27,2022,,,,Nevada,72.0,190.0,AhmeRa00
00-0036020,Salvon Ahmed,Salvon,Ahmed,RB,RB,1998-12-29,2020,,,,Washington,71.0,197.0,AhmeSa01
00-0039175,Junior Aho,Junior,Aho,DT,DL,1999-02-02,2023,,,,SMU,76.0,272.0,AhoxJu00
AHR415291,Dave Ahrens,David,Ahrens,OLB,LB,1958-12-05,1981,1981.0,6.0,143.0,Wisconsin,75.0,228.0,AhreDa20
00-0028496,Danny Aiken,Daniel,Aiken,LS,SPEC,1988-08-28,2011,,,,Virginia,76.0,255.0,AikeDa00
00-0028497,Kamar Aiken,Kamar,Aiken,WR,WR,1989-05-30,2011,,,,UCF,74.0,216.0,AikeKa00
00-0021915,Sam Aiken,Samuel,Aiken,WR,WR,1980-12-14,2003,2003.0,4.0,127.0,North Carolina,74.0,220.0,AikeSa00
AIK276861,Carl Aikens,Carl,Aikens,WR,WR,1962-06-05,1987,,,,Northern Illinois,73.0,185.0,AikeCa20
00-0031307,Walt Aikens,Walter,Aikens,DB,DB,1991-06-19,2014,2014.0,4.0,125.0,Liberty; Illinois,73.0,200.0,AikeWa00
00-0000104,Troy Aikman,Troy,Aikman,QB,QB,1966-11-21,1989,1989.0,1.0,1.0,UCLA; Oklahoma,76.0,220.0,AikmTr00
AIM415291,John Aimonetti,John,Aimonetti,G,OL,1963-11-22,1987,,,,San Jose State,75.0,278.0,
00-0026302,Erik Ainge,Erik,Ainge,QB,QB,1986-06-12,2008,2008.0,5.0,162.0,Tennessee,77.0,221.0,AingEr00
AIU415291,Charles Aiu,Charles,Aiu,G,OL,1954-05-22,1976,,,,Hawaii,74.0,251.0,AiuxCh20
00-0028679,Victor Aiyewa,Bamidele,Aiyewa,LB,LB,1989-02-04,2013,,,,Washington,73.0,219.0,AiyeVi00
00-0036261,Brandon Aiyuk,Brandon,Aiyuk,WR,WR,1998-03-17,2020,2020.0,1.0,25.0,Arizona State; Sierra JC,72.0,200.0,AiyuBr00
00-0031590,Jay Ajayi,Jonathan,Ajayi,RB,RB,1993-06-15,2015,2015.0,5.0,149.0,Boise State,72.0,223.0,AjayJa00
00-0039178,Austin Ajiake,Austin,Ajiake,LB,LB,2000-06-30,2023,,,,UNLV,73.0,223.0,AjiaAu00
00-0027581,Seyi Ajirotutu,Oluseyi,Ajirotutu,WR,WR,1987-06-12,2010,,,,Fresno State,75.0,215.0,AjirSe00
00-0024475,Emmanuel Akah,Emmanuel,Akah,G,OL,1979-02-08,2007,,,,Winston Salem State University,75.0,330.0,
00-0020330,Hakim Akbar,Akmal,Akbar,DB,DB,1980-08-11,2001,2001.0,5.0,163.0,Washington,72.0,222.0,AkbaHa20
00-0036414,Cam Akers,Cam,Akers,RB,RB,1999-06-22,2020,2020.0,2.0,52.0,Florida State,70.0,217.0,AkerCa00
00-0000108,David Akers,David,Akers,K,SPEC,1974-12-09,1998,,,,Louisville,70.0,200.0,akersdav01
00-0036598,Landen Akers,Landen,Akers,WR,WR,1997-07-07,2021,,,,Iowa State,72.0,191.0,AkerLa00
00-0040022,Tommy Akingbesote,Tommy,Akingbesote,DT,DL,2003-02-25,2025,2025.0,7.0,247.0,Maryland,76.0,316.0,AkinTo00
00-0038073,Alex Akingbulu,Alex,Akingbulu,OT,OL,1997-12-28,2022,,,,Fresno State,77.0,300.0,AkinAl00
00-0035600,Freedom Akinmoladun,Freedom,Akinmoladun,DE,DL,1996-02-11,2019,,,,Nebraska,75.0,286.0,AkinFr01
00-0029798,C.J. Akins,Cedric,Akins,WR,WR,1991-05-10,2013,,,,Angelo State University,73.0,200.0,
00-0000111,Chris Akins,Chris,Akins,DT,DL,1976-01-07,1998,,,,Texas,73.0,323.0,
00-0000112,Chris Akins,Christopher,Akins,DB,DB,1976-11-29,1999,1999.0,7.0,212.0,University of Arkansas at Pine Bluff; Arkansas,71.0,200.0,AkinCh20
00-0035392,Curtis Akins,Curtis,Akins,LB,LB,1995-09-28,2019,,,,Memphis,73.0,229.0,AkinCu00
00-0034364,Jordan Akins,Jordan,Akins,TE,TE,1992-04-19,2018,2018.0,3.0,98.0,UCF,76.0,245.0,AkinJo00
AKI664464,Mike Akiu,Karl,Akiu,WR,WR,1962-02-12,1985,1985.0,7.0,170.0,Hawaii; Washington State,69.0,182.0,AkiuMi20
00-0031666,Derek Akunne,Derek,Akunne,LB,LB,1993-08-17,2015,,,,North Texas,72.0,242.0,
00-0035166,Azeez Al-Shaair,Azeez,Al-Shaair,LB,LB,1997-08-04,2019,,,,Florida Atlantic,74.0,228.0,AlShAz00
00-0023595,Anthony Alabi,Anthony,Alabi,OT,OL,1981-02-16,2005,2005.0,5.0,162.0,TCU,77.0,315.0,AlabAn20
00-0024133,Tui Alailefaleula,Tui,Alailefaleula,DT,DL,1982-11-05,2006,,,,Washington,75.0,350.0,
00-0035103,Otaro Alaka,Otaro,Alaka,LB,LB,1996-05-18,2019,,,,Texas A&M,75.0,239.0,AlakOt01
00-0025445,Ikaika Alama-Francis,Ikaika,Alama-Francis,LB,LB,1984-12-04,2007,2007.0,2.0,58.0,Hawaii,77.0,290.0,AlamIk99
00-0036448,Isaac Alarcon,Isaac,Alarcon,OT,OL,1998-07-27,2020,,,,,79.0,320.0,AlarIs00
00-0019857,Troy Albea,Troy,Albea,WR,WR,1978-04-30,2001,,,,Appalachian State; Georgia Military,71.0,215.0,
